Brand,Name,Location,Rating,Number of Ratings,Price
Château l'Arieste,"Château l'Arieste
Prestige Sauternes 2019","Sauternes, France",4.4,105 ratings,19.99
Château d'Yquem,"Château d'Yquem
Sauternes 2019","Sauternes, France",4.7,106 ratings,429.99
Sine Qua Non,"Sine Qua Non
Mr. K The Straw Man (Vin de Paille) 2006","California, United States",4.7,41 ratings,299.99
Inniskillin,"Inniskillin
Cabernet Franc Icewine 2019","Niagara Peninsula, Canada",4.6,105 ratings,89.94
Donnafugata,"Donnafugata
Ben Ryé Passito di Pantelleria 2019","Passito di Pantelleria, Italy",4.5,941 ratings,44.99
Marco de Bartoli,"Marco de Bartoli
Bukkuram Padre della Vigna Passito di Pantelleria 2014","Passito di Pantelleria, Italy",4.5,257 ratings,105
Inniskillin,"Inniskillin
Vidal Icewine 2019","Niagara Peninsula, Canada",4.5,126 ratings,58.99
Royal Tokaji,"Royal Tokaji
5 Puttonyos Aszú (Red Label) 2017","Tokaj, Hungary",4.5,113 ratings,73.99
Antinori,"Antinori
Castello della Sala Muffato della Sala 2016","Umbria, Italy",4.4,330 ratings,49
Royal Tokaji,"Royal Tokaji
5 Puttonyos Aszú (Red Label) 2016","Tokaj, Hungary",4.4,279 ratings,54.99
Jorge Ordóñez,"Jorge Ordóñez
No. 2 Victoria 2018","Málaga, Spain",4.4,125 ratings,24.99
Mullineux,"Mullineux
Straw Wine 2020","Swartland, South Africa",4.4,108 ratings,47.49
Inniskillin,"Inniskillin
Riesling Icewine 2019","Niagara Peninsula, Canada",4.4,106 ratings,89.99
Carpineto,"Carpineto
Farnito Vin Santo del Chianti 1999","Vin Santo del Chianti, Italy",4.4,65 ratings,85.99
Domaine des Baumard,"Domaine des Baumard
Quarts de Chaume 1967","Quarts de Chaume, France",4.4,60 ratings,299.99
Sine Qua Non,"Sine Qua Non
Mr. K The Noble Man (Viognier) 2003","San Luis Obispo County, United States",4.4,35 ratings,294.99
Disznókó,"Disznókó
Tokaji Aszú 6 Puttonyos 2016","Tokaj, Hungary",4.4,29 ratings,69.99
