Brand,Name,Location,Rating,Number of Ratings,Price
Italics Winegrowers,"Italics Winegrowers
Petit Verdot 2018","Napa Valley, United States",4.3,29 ratings,34.99
St. Clement,"St. Clement
Johanna Cabernet Sauvignon 2019","Knights Valley, United States",4.1,190 ratings,24.99
Keiser Family Wines,"Keiser Family Wines
Cabernet Sauvignon 2018","Napa Valley, United States",4.2,44 ratings,34.99
Sling & Spear,"Sling & Spear
Cabernet Sauvignon 2017","Napa Valley, United States",4.3,269 ratings,39.99
Dolum Estates,"Dolum Estates
Cask 28 Cabernet Sauvignon 2019","Stags Leap District, United States",4.4,135 ratings,39.99
Château Franc Lartigue,"Château Franc Lartigue
Saint-Émilion Grand Cru 2018","Saint-Émilion Grand Cru, France",4.1,34 ratings,19.99
Isla Rae,"Isla Rae
Sui Generis Edition Cabernet Sauvignon 2017","Napa Valley, United States",3.4,44 ratings,24.99
Sling & Spear,"Sling & Spear
Cabernet Sauvignon 2018","Oakville, United States",4.3,129 ratings,49.99
Altra,"Altra
L'Altra Donna Red Blend 2012","Napa Valley, United States",4.1,66 ratings,29.99
Frisson,"Frisson
Napa Valley Cabernet Sauvignon 2019","Napa Valley, United States",4.4,69 ratings,44.99
Tenute Ca' Botta,"Tenute Ca' Botta
Torcinato Valpolicella Superiore 2015","Valpolicella, Italy",4.1,64 ratings,19.99
Lortum Riché Vineyards,"Lortum Riché Vineyards
Row 48-Cask 3 Cabernet Sauvignon 2019","Yountville, United States",4.1,61 ratings,39.99
Beau Vigne,"Beau Vigne
Amendment XXI 2020","Napa Valley, United States",4.3,36 ratings,27.99
Beau Vigne,"Beau Vigne
Cult Cabernet Sauvignon 2019","Napa Valley, United States",4.4,951 ratings,44.99
Valle Las Nencias,"Valle Las Nencias
Malbec Reserve 2019","Mendoza, Argentina",4.4,67 ratings,21.99
Giusti,"Giusti
Valpolicella Ripasso Superiore 2019","Valpolicella Ripasso, Italy",3.9,61 ratings,22.99
Golden Gate Cellars,"Golden Gate Cellars
Reserve Cabernet Sauvignon 2019","Rutherford, United States",4.2,200 ratings,24.99
Château Le Chatelet,"Château Le Chatelet
Saint-Émilion Grand Cru (Grand Cru Classé) 2018","Saint-Émilion Grand Cru, France",4.3,87 ratings,44.99
Santa Brasa,"Santa Brasa
Malbec 2020","Lujan de Cuyo, Argentina",4.3,79 ratings,14.99
On Q,"On Q
Cadence Cabernet Sauvignon 2020","Napa Valley, United States",4.1,37 ratings,38.99
Roquette & Cazes,"Roquette & Cazes
Douro 2019","Douro, Portugal",4.3,791 ratings,19.99
Finca Mangato,"Finca Mangato
Estela Perinetti Cabernet Sauvignon - Malbec 2018","Tupungato, Argentina",4.2,127 ratings,19.99
Sling & Spear,"Sling & Spear
Zinfandel 2017","Dry Creek Valley, United States",4.1,86 ratings,19.99
Planeta,"Planeta
Burdese 2015","Menfi, Italy",3.9,670 ratings,19.99
Napa Cut,"Napa Cut
Cabernet Sauvignon 2019","Napa Valley, United States",4.0,628 ratings,29.99
Perrin Dobbs,"Perrin Dobbs
Ace of Spades Cabernet Sauvignon 2021","Paso Robles, United States",3.9,48 ratings,16.99
Levo,"Levo
Tearing At The Seams 2018","Santa Barbara County, United States",3.7,82 ratings,19.99
Thurlow Cellars,"Thurlow Cellars
Copperhead Cabernet Sauvignon 2019","Napa Valley, United States",4.1,53 ratings,39.99
Jules Harrison,"Jules Harrison
Pinot Noir 2020","Santa Barbara County, United States",3.7,36 ratings,17.99
Giusti,"Giusti
Valpolicella Ripasso Classico Superiore 2019","Valpolicella Ripasso Classico, Italy",4.3,83 ratings,24.99
La Massa,"La Massa
Giorgio Primo 2018","Chianti Classico, Italy",4.3,70 ratings,49.99
Marchesi de' Cordano,"Marchesi de' Cordano
Aida Montepulciano d'Abruzzo 2019","Montepulciano d'Abruzzo, Italy",4.3,240 ratings,15.99
Domaine de Malbos,"Domaine de Malbos
Côtes du Rhône 2016","Côtes-du-Rhône, France",4.1,105 ratings,15.99
Astrale,"Astrale
Astrale Special Edition 2018","Vino d'Italia, Italy",4.2,1908 ratings,18.99
Altavins,"Altavins
Jorn Nou Petit Tinto 2020","Terra Alta, Spain",4.1,92 ratings,16.99
770 Miles,"770 Miles
Zinfandel 2021","California, United States",4.1,656 ratings,14.99
Poggi,"Poggi
Corte dei Castaldi Amarone della Valpolicella Classico 2017","Amarone della Valpolicella Classico, Italy",4.4,127 ratings,27.99
Lara & Rand,"Lara & Rand
Block 4A Reserve 2017","Stags Leap District, United States",3.9,60 ratings,32.99
Cellier des Chartreux,"Cellier des Chartreux
CAB Grand Prébos Cabernet Sauvignon 2021","Gard, France",4.1,134 ratings,16.99
Astrale,"Astrale
Rosso N.V.","Vino d'Italia, Italy",4.1,33160 ratings,17.99
Château du Grand Bos,"Château du Grand Bos
Graves Rouge 2010","Graves, France",4.2,685 ratings,26.99
Château Les Vimieres,"Château Les Vimieres
Haut-Médoc 2018","Haut-Médoc, France",4.2,125 ratings,26.99
