Brand,Name,Location,Rating,Number of Ratings,Price
Out East,"Out East
Côtes de Provence Rosé 2020","Côtes de Provence, France",4.0,69 ratings,12.50
DAOU,"DAOU
Discovery Collection Rosé 2020","Paso Robles, United States",4.0,236 ratings,15.99
DAOU,"DAOU
Discovery Collection Rosé 2021","Paso Robles, United States",4.0,104 ratings,15.99
Belle Glos,"Belle Glos
Oeil de Perdrix Pinot Noir Blanc Rosé 2021","Yorkville Highlands, United States",4.1,330 ratings,18.95
Château d'Esclans,"Château d'Esclans
Garrus Rosé 2020","Côtes de Provence, France",4.6,120 ratings,119.99
Château d'Esclans,"Château d'Esclans
Les Clans Rosé 2018","Côtes de Provence, France",4.4,181 ratings,99.99
Domaines Ott,"Domaines Ott
Étoile Rosé 2020","Bandol, France",4.4,39 ratings,179.99
Domaines Ott,"Domaines Ott
Château de Selle Rosé (Coeur de Grain) 2020","Côtes de Provence, France",4.3,673 ratings,54.99
Tormaresca,"Tormaresca
Furía di Calafuria 2021","Salento, Italy",4.3,250 ratings,29
RUMOR,"RUMOR
Rosé 2021","Côtes de Provence, France",4.3,61 ratings,42.99
Château d'Esclans,"Château d'Esclans
Rock Angel Rosé 2018","Côtes de Provence, France",4.2,1140 ratings,44.99
Château d'Esclans,"Château d'Esclans
Rock Angel Rosé 2020","Côtes de Provence, France",4.2,882 ratings,32.99
Minuty,"Minuty
Rosé et Or 2021","Côtes de Provence, France",4.2,666 ratings,54.99
Domaines Ott,"Domaines Ott
Château Romassan Rosé (Coeur de Grain) 2020","Bandol, France",4.2,570 ratings,54.97
Domaines Ott,"Domaines Ott
Château de Selle Rosé (Coeur de Grain) 2021","Côtes de Provence, France",4.2,282 ratings,54.99
Domaine Tempier,"Domaine Tempier
Bandol Rosé 2021","Bandol, France",4.2,237 ratings,59.99
Château d'Esclans,"Château d'Esclans
Rock Angel Rosé 2021","Côtes de Provence, France",4.2,173 ratings,37.99
Château de Pibarnon,"Château de Pibarnon
Bandol Rosé 2021","Bandol, France",4.2,61 ratings,43.95
Château d'Esclans,"Château d'Esclans
Rosé 2019","Côtes de Provence, France",4.2,58 ratings,49.99
Flowers,"Flowers
Rosé 2021","Sonoma Coast, United States",4.2,50 ratings,37.99
Maison Noir,"Maison Noir
New Noir 2020","Oregon, United States",4.2,49 ratings,29.99
Ehlers Estate,"Ehlers Estate
Sylviane 2021","St. Helena, United States",4.2,44 ratings,37
Domaine de l'Abbaye,"Domaine de l'Abbaye
Clos Beylesse Côtes de Provence Rosé 2021","Côtes de Provence, France",4.2,43 ratings,29.99
Clos Sainte Magdeleine,"Clos Sainte Magdeleine
Cassis Rosé 2021","Cassis, France",4.2,40 ratings,41.94
