Brand,Name,Location,Rating,Number of Ratings,Price
Beau Joie,"Beau Joie
Brut Champagne (Special Cuvée) N.V.","Champagne, France",4.2,1261 ratings,39.99
Beau Vigne,"Beau Vigne
Heirloom Brut Méthode Champenoise N.V.","North Coast, United States",4.2,46 ratings,21.99
Robert de Pampignac,"Robert de Pampignac
Brut Champagne N.V.","Champagne, France",3.6,530 ratings,22.99
Villa Degli Olmi,"Villa Degli Olmi
Corte dei Rovi Moscato Spumante N.V.","Veneto, Italy",4.3,731 ratings,13.99
Veuve Doussot,"Veuve Doussot
Demi-Sec Champagne N.V.","Champagne, France",4.3,101 ratings,29.99
Barbier Louvet,"Barbier Louvet
Cuvée d'Ensemble Champagne Grand Cru N.V.","Champagne Grand Cru, France",4.3,392 ratings,36.99
Le Colture,"Le Colture
Prime Gemme Valdobbiadene Prosecco Superiore Extra Dry N.V.","Conegliano-Valdobbiadene Prosecco, Italy",4.3,173 ratings,19.99
Emmolo,"Emmolo
Emmolo No. 2 Méthode Traditionnelle N.V.","Napa Valley, United States",3.9,330 ratings,24.99
Willy Gisselbrecht,"Willy Gisselbrecht
Crémant Blanc de Noirs Brut N.V.","Alsace, France",4.3,483 ratings,24.99
La Marca,"La Marca
Luminore N.V.","Conegliano-Valdobbiadene Prosecco, Italy",4.0,649 ratings,19.99
Louis Armand,"Louis Armand
Premier Cru Blanc de Blancs Brut Champagne N.V.","Champagne, France",4.1,1790 ratings,29.99
Emmolo,"Emmolo
Emmolo No. 3 Méthode Traditionnelle N.V.","California, United States",3.9,34 ratings,34.99
Etienne Oudart,"Etienne Oudart
Blanc de Noirs Champagne N.V.","Champagne, France",4.4,140 ratings,39.99
Alexandrie Cellars,"Alexandrie Cellars
Alexandrie Brut N.V.","Rutherford, United States",4.3,458 ratings,29.99
Villa Sparina,"Villa Sparina
Blanc de Blancs Brut N.V.","Gavi, Italy",3.8,651 ratings,24.99
Dom Pérignon,"Dom Pérignon
P2 Plénitude Brut Champagne 2002","Champagne, France",4.7,1580 ratings,499.99
Dom Pérignon,"Dom Pérignon
Lady Gaga Edition Rosé Champagne 2006","Champagne, France",4.7,32 ratings,499.99
Krug,"Krug
Grande Cuvée N.V.","Champagne, France",4.6,27666 ratings,229.95
Dom Pérignon,"Dom Pérignon
Brut Champagne 2012","Champagne, France",4.6,5570 ratings,269.95
Bollinger,"Bollinger
R.D Extra Brut Champagne (Récemment Dégorgé) 2002","Champagne, France",4.6,2673 ratings,499.99
Louis Roederer,"Louis Roederer
Cristal Brut Champagne (Millésimé) 2013","Champagne, France",4.6,1667 ratings,399.99
Louis Roederer,"Louis Roederer
Cristal Brut Champagne (Millésimé) 2014","Champagne, France",4.6,925 ratings,349.99
Dom Pérignon,"Dom Pérignon
P2 Plénitude Brut Champagne 2003","Champagne, France",4.6,745 ratings,499.99
Dom Pérignon,"Dom Pérignon
Brut Rosé Champagne 2008","Champagne, France",4.6,565 ratings,449.99
Pol Roger,"Pol Roger
Sir Winston Churchill Brut Champagne 2013","Champagne, France",4.6,415 ratings,324.99
Ruinart,"Ruinart
Dom Ruinart Blanc de Blancs Brut Champagne 2010","Champagne, France",4.6,373 ratings,324.99
Veuve Clicquot,"Veuve Clicquot
La Grande Dame Brut Rosé Champagne 2006","Champagne, France",4.6,187 ratings,365.95
Taittinger,"Taittinger
Comtes de Champagne Blanc de Blancs 2011","Champagne, France",4.5,956 ratings,209.99
Veuve Clicquot,"Veuve Clicquot
La Grande Dame Brut Champagne 2012","Champagne, France",4.5,876 ratings,219.99
Charles Heidsieck,"Charles Heidsieck
Blanc des Millénaires 2006","Champagne, France",4.5,696 ratings,275
Domaine Carneros,"Domaine Carneros
Le Rêve Blanc de Blancs 2014","Los Carneros, United States",4.5,205 ratings,120
Armand de Brignac,"Armand de Brignac
Green Brut Champagne (Limited Edition) N.V.","Champagne, France",4.5,128 ratings,474.99
Veuve Clicquot,"Veuve Clicquot
La Grande Dame Brut Rosé Champagne 2008","Champagne, France",4.5,71 ratings,369.99
Laurent-Perrier,"Laurent-Perrier
Brut Cuvée Champagne Rosé N.V.","Champagne, France",4.4,36427 ratings,96.25
Ruinart,"Ruinart
Blanc de Blancs Brut Champagne N.V.","Champagne, France",4.4,35869 ratings,109.99
Billecart-Salmon,"Billecart-Salmon
Brut Rosé Champagne N.V.","Champagne, France",4.4,22727 ratings,88.99
Billecart-Salmon,"Billecart-Salmon
Blanc de Blancs Brut Champagne Grand Cru N.V.","Champagne Grand Cru, France",4.4,5351 ratings,89.90
Armand de Brignac,"Armand de Brignac
Brut Champagne (Gold) N.V.","Champagne, France",4.4,3800 ratings,299.88
Veuve Clicquot,"Veuve Clicquot
Vintage Brut Champagne 2012","Champagne, France",4.4,3058 ratings,92.95
Perrier-Jouët,"Perrier-Jouët
Belle Epoque Brut Champagne 2013","Champagne, France",4.4,1679 ratings,199.99
Duval-Leroy,"Duval-Leroy
Femme de Champagne Grand Cru Brut N.V.","Champagne Grand Cru, France",4.4,1054 ratings,124.99
Drappier,"Drappier
Grande Sendrée Champagne Brut 2010","Champagne, France",4.4,866 ratings,134.99
Veuve Clicquot,"Veuve Clicquot
Vintage Rosé Brut Champagne 2012","Champagne, France",4.4,502 ratings,95
Henriot,"Henriot
Cuvée Hemera Brut Champagne 2005","Champagne, France",4.4,484 ratings,199.90
Miraval,"Miraval
Fleur de Miraval Exclusivement Rosé Champagne N.V.","Champagne, France",4.4,280 ratings,349.99
Perrier-Jouët,"Perrier-Jouët
Belle Epoque Brut Champagne 2014","Champagne, France",4.4,192 ratings,249.99
Mod Sélection,"Mod Sélection
Reserve Champagne N.V.","Champagne, France",4.4,174 ratings,324.99
Schramsberg,"Schramsberg
J. Schram Brut 2012","North Coast, United States",4.4,135 ratings,119.99
Armand de Brignac,"Armand de Brignac
Demi-Sec Champagne N.V.","Champagne, France",4.4,135 ratings,424.99
Dom Pérignon,"Dom Pérignon
Brut Champagne 2013","Champagne, France",4.4,132 ratings,308.11
André Robert,"André Robert
Terre du Mesnil Brut Champagne Grand Cru 'Le Mesnil-sur-Oger' 2013","Champagne Grand Cru 'Le Mesnil-sur-Oger', France",4.4,92 ratings,95.99
Veuve Clicquot,"Veuve Clicquot
La Grande Dame Brut Champagne by Yayoi Kusama 2012","Champagne, France",4.4,65 ratings,199.95
Vilmart & Cie,"Vilmart & Cie
Cœur de Cuvée Champagne Premier Cru 2013","Champagne Premier Cru, France",4.4,62 ratings,145
Pierre Morlet,"Pierre Morlet
Millesime Brut Champagne Premier Cru 2012","Champagne Premier Cru, France",4.4,57 ratings,79.99
De Sousa,"De Sousa
Umami Cuvée Grand Cru 2012","Champagne, France",4.4,53 ratings,249.94
Collet,"Collet
Esprit Couture Brut Champagne 2012","Champagne, France",4.4,51 ratings,115.99
Deutz,"Deutz
Cuvée William Deutz Millesimé Brut Champagne 2013","Champagne, France",4.4,41 ratings,174.99
Veuve Clicquot,"Veuve Clicquot
Brut (Carte Jaune) Champagne N.V.","Champagne, France",4.3,126016 ratings,64.99
Bollinger,"Bollinger
Special Cuvée Brut Aÿ Champagne N.V.","Champagne, France",4.3,59766 ratings,72.99
Veuve Clicquot,"Veuve Clicquot
Brut Rosé Champagne N.V.","Champagne, France",4.3,21704 ratings,79.95
Ruinart,"Ruinart
Brut Rosé Champagne N.V.","Champagne, France",4.3,20692 ratings,104.99
Bollinger,"Bollinger
Rosé Brut Champagne N.V.","Champagne, France",4.3,12044 ratings,99.95
Veuve Clicquot,"Veuve Clicquot
Demi-Sec Champagne N.V.","Champagne, France",4.3,7755 ratings,59.99
Billecart-Salmon,"Billecart-Salmon
Brut Sous Bois Champagne N.V.","Champagne, France",4.3,3682 ratings,94.99
