Brand,Name,Location,Rating,Number of Ratings,Price
Lionel Gosseaume,"Lionel Gosseaume
Domaine de Pierre Touraine Sauvignon 2020","Touraine, France",4.1,70 ratings,15.99
Heart's Needle,"Heart's Needle
Old Vine Riesling 2015","Mendocino County, United States",3.9,46 ratings,13.99
Château Petit-Freylon,"Château Petit-Freylon
Cuvée Marguerite Bordeaux Blanc 2020","Bordeaux, France",3.9,41 ratings,14.99
Antica,"Antica
Mountain Select Chardonnay 2020","Napa Valley, United States",4.1,33 ratings,24.99
Roberts + Rogers,"Roberts + Rogers
Reserve Chardonnay 2019","Sonoma County, United States",4.3,87 ratings,31.99
Château Calvimont,"Château Calvimont
Graves Blanc 2020","Graves, France",4.1,106 ratings,22.99
Antinori,"Antinori
Villa Antinori Toscana Bianco 2021","Toscana, Italy",3.9,1666 ratings,12.99
Hans Greyl,"Hans Greyl
Sauvignon Blanc 2021","Marlborough, New Zealand",4.1,3352 ratings,11.99
Rectoral do Umia,"Rectoral do Umia
Porta da Ría Albariño 2021","Rías Baixas, Spain",4.1,116 ratings,14.99
Beringer,"Beringer
Private Reserve Chardonnay 2020","Napa Valley, United States",4.0,57 ratings,37.99
El Enemigo,"El Enemigo
Chardonnay 2019","Mendoza, Argentina",4.1,2224 ratings,19.98
Guerrieri,"Guerrieri
Guerriero del Mare 2020","Marche, Italy",4.4,491 ratings,29.99
Antinori,"Antinori
Tenuta Guado al Tasso Vermentino Bolgheri 2021","Bolgheri, Italy",4.0,1462 ratings,16.99
Buena Vista,"Buena Vista
Chardonnay 2020","North Coast, United States",3.7,38 ratings,11.99
Miner,"Miner
Chardonnay 2019","Napa Valley, United States",4.0,54 ratings,29.99
Tiki,"Tiki
Maui Sauvignon Blanc 2021","Waipara, New Zealand",4.1,195 ratings,18.99
Frei Brothers,"Frei Brothers
Chardonnay 2020","Russian River Valley, United States",4.0,257 ratings,16.99
Schloss Johannisberg,"Schloss Johannisberg
Silberlack Riesling Trocken GG 2020","Rheingau, Germany",4.2,119 ratings,46.94
Nativ,"Nativ
Fontana del Sambuco Fiano di Avellino 2020","Fiano de Avellino, Italy",4.1,35 ratings,17.99
The Arsonist,"The Arsonist
Chardonnay 2018","Dunnigan Hills, United States",4.0,299 ratings,17.99
Tenuta Ulisse,"Tenuta Ulisse
Pinot Grigio 2021","Terre di Chieti, Italy",4.3,86 ratings,19.99
Fontaine-Gagnard,"Fontaine-Gagnard
Chassagne-Montrachet 1er Cru 'La Maltroie' 2018","Chassagne-Montrachet 1er Cru 'La Maltroie', France",4.6,94 ratings,94.94
Bergström,"Bergström
Sigrid Chardonnay 2017","Willamette Valley, United States",4.6,76 ratings,114.94
Morlet Family Vineyards,"Morlet Family Vineyards
Chardonnay Coup De Coeur 2015","Sonoma County, United States",4.6,36 ratings,299.99
Aubert,"Aubert
Sonoma Coast Chardonnay 2020","Sonoma Coast, United States",4.6,36 ratings,499
Aubert,"Aubert
Chardonnay Eastside 2018","Russian River Valley, United States",4.6,34 ratings,269.99
Gabrio & Giotto Bini - Serragghia,"Gabrio & Giotto Bini - Serragghia
Héritage Zibibbo 2019","Terre Siciliane, Italy",4.6,25 ratings,165
Antinori,"Antinori
Castello della Sala Cervaro della Sala 2019","Umbria, Italy",4.5,2863 ratings,68.99
de Ladoucette,"de Ladoucette
Baron de L Pouilly-Fumé 2018","Pouilly-Fumé, France",4.5,589 ratings,139.99
Gaja,"Gaja
Gaia & Rey Langhe 2019","Langhe, Italy",4.5,159 ratings,349.99
Sadie Family,"Sadie Family
Palladius 2019","Swartland, South Africa",4.5,128 ratings,118.74
Domaine Blain-Gagnard,"Domaine Blain-Gagnard
Chassagne-Montrachet Premier Cru 'Morgeot' Blanc 2018","Chassagne-Montrachet 1er Cru 'Morgeot', France",4.5,118 ratings,99.94
Domaine Latour-Giraud,"Domaine Latour-Giraud
Meursault-Genevrières 1er Cru 2018","Meursault 1er Cru 'Genevrières', France",4.5,112 ratings,99.94
Eisele Vineyard,"Eisele Vineyard
Sauvignon Blanc 2018","Napa Valley, United States",4.5,108 ratings,209.94
Domaine Jean-Louis Chave,"Domaine Jean-Louis Chave
Hermitage Blanc 2012","Hermitage, France",4.5,97 ratings,275
Henri Bourgeois,"Henri Bourgeois
Sancerre Jadis 2017","Sancerre, France",4.5,80 ratings,60.94
Sea Smoke,"Sea Smoke
Chardonnay 2018","Sta. Rita Hills, United States",4.5,64 ratings,249.99
Domaine Jean-Louis Chave,"Domaine Jean-Louis Chave
Hermitage Blanc 2013","Hermitage, France",4.5,62 ratings,274.94
Aubert,"Aubert
Chardonnay Eastside 2013","Russian River Valley, United States",4.5,57 ratings,399.99
Pierre Boisson,"Pierre Boisson
Meursault 'Les Grands Charrons' 2018","Meursault, France",4.5,50 ratings,119.94
Domaine de Montille,"Domaine de Montille
Chassagne-Montrachet 2018","Chassagne-Montrachet, France",4.5,43 ratings,74.94
Palmaz,"Palmaz
Amalia Chardonnay 2019","Napa Valley, United States",4.5,31 ratings,80
North Coast Wine Co.,"North Coast Wine Co.
Outerbound Chardonnay 2020","Sonoma Coast, United States",4.5,30 ratings,29.99
Morlet Family Vineyards,"Morlet Family Vineyards
Chardonnay Coup De Coeur 2016","Sonoma County, United States",4.5,30 ratings,299.99
Antinori,"Antinori
Castello della Sala Cervaro della Sala 2020","Umbria, Italy",4.4,1035 ratings,68.43
Rombauer Vineyards,"Rombauer Vineyards
Chardonnay 2021","Los Carneros, United States",4.4,1006 ratings,37.98
Pazo Barrantes,"Pazo Barrantes
Gran Vino Albariño 2019","Rías Baixas, Spain",4.4,891 ratings,49.99
Chateau Montelena,"Chateau Montelena
Chardonnay 2019","Napa Valley, United States",4.4,789 ratings,64.95
